neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,forest,hilly,mean,mad
0.5,64,2,0.00000001,0,0.2,inf,inf,inf,inf
0.5,64,2,0.00000001,0,0.4,inf,inf,inf,inf
0.5,64,2,0.00000001,0,0.6,inf,inf,inf,inf
0.5,64,2,0.00000001,0,0.8,inf,inf,inf,inf
0.5,64,2,0.00000001,0,1,inf,inf,inf,inf
0.5,64,2,0.00000001,0.2,0.2,inf,inf,inf,inf
0.5,64,2,0.00000001,0.2,0.4,inf,inf,inf,inf
0.5,64,2,0.00000001,0.2,0.6,inf,inf,inf,inf
0.5,64,2,0.00000001,0.2,0.8,inf,inf,inf,inf
0.5,64,2,0.00000001,0.2,1,inf,inf,inf,inf
0.5,64,2,0.00000001,0.4,0.2,inf,inf,inf,inf
0.5,64,2,0.00000001,0.4,0.4,inf,inf,inf,inf
0.5,64,2,0.00000001,0.4,0.6,inf,inf,inf,inf
0.5,64,2,0.00000001,0.4,0.8,inf,inf,inf,inf
0.5,64,2,0.00000001,0.4,1,inf,inf,inf,inf
0.5,64,2,0.00000001,0.6,0.2,160371.2,inf,inf,inf
0.5,64,2,0.00000001,0.6,0.4,inf,inf,inf,inf
0.5,64,2,0.00000001,0.6,0.6,inf,inf,inf,inf
0.5,64,2,0.00000001,0.6,0.8,inf,inf,inf,inf
0.5,64,2,0.00000001,0.6,1,inf,inf,inf,inf
0.5,64,2,0.00000001,0.8,0.2,133664,inf,inf,inf
0.5,64,2,0.00000001,0.8,0.4,297203.2,inf,inf,inf
0.5,64,2,0.00000001,0.8,0.6,345139.2,inf,inf,inf
0.5,64,2,0.00000001,0.8,0.8,386969.6,inf,inf,inf
0.5,64,2,0.00000001,0.8,1,396544,inf,inf,inf
0.5,64,2,0.00000001,1,0.2,inf,inf,inf,inf
0.5,64,2,0.00000001,1,0.4,inf,inf,inf,inf
0.5,64,2,0.00000001,1,0.6,inf,inf,inf,inf
0.5,64,2,0.00000001,1,0.8,inf,inf,inf,inf
0.5,64,2,0.00000001,1,1,inf,inf,inf,inf
0.5,64,4,0.00000001,0,0.2,inf,inf,inf,inf
0.5,64,4,0.00000001,0,0.4,inf,inf,inf,inf
0.5,64,4,0.00000001,0,0.6,inf,inf,inf,inf
0.5,64,4,0.00000001,0,0.8,inf,inf,inf,inf
0.5,64,4,0.00000001,0,1,inf,inf,inf,inf
0.5,64,4,0.00000001,0.2,0.2,inf,inf,inf,inf
0.5,64,4,0.00000001,0.2,0.4,inf,inf,inf,inf
0.5,64,4,0.00000001,0.2,0.6,inf,inf,inf,inf
0.5,64,4,0.00000001,0.2,0.8,inf,inf,inf,inf
0.5,64,4,0.00000001,0.2,1,inf,inf,inf,inf
0.5,64,4,0.00000001,0.4,0.2,inf,inf,inf,inf
0.5,64,4,0.00000001,0.4,0.4,inf,inf,inf,inf
0.5,64,4,0.00000001,0.4,0.6,inf,inf,inf,inf
0.5,64,4,0.00000001,0.4,0.8,inf,inf,inf,inf
0.5,64,4,0.00000001,0.4,1,inf,inf,inf,inf
0.5,64,4,0.00000001,0.6,0.2,160371.2,inf,inf,inf
0.5,64,4,0.00000001,0.6,0.4,inf,inf,inf,inf
